Doença,Código CID-10
Tuberculose do sistema nervoso,A17.0
Tuberculose do sistema nervoso,A17.1
Tuberculose do sistema nervoso,A17.8
Tuberculose do sistema nervoso,A17.9
Tuberculose miliar,A19.0
Tuberculose miliar,A19.1
Tuberculose miliar,A19.2
Tuberculose miliar,A19.8
Tuberculose miliar,A19.9
Tétano obstétrico,A34
Tétano,A35
Difteria,A36.0
Difteria,A36.1
Difteria,A36.2
Difteria,A36.3
Difteria,A36.8
Difteria,A36.9
Coqueluche,A37.0
Coqueluche,A37.1
Coqueluche,A37.8
Coqueluche,A37.9
Poliomielite aguda,A80.0
Poliomielite aguda,A80.1
Poliomielite aguda,A80.2
Poliomielite aguda,A80.3
Poliomielite aguda,A80.4
Poliomielite aguda,A80.9
Sarampo,B05.0
Sarampo,B05.1
Sarampo,B05.2
Sarampo,B05.3
Sarampo,B05.4
Sarampo,B05.8
Sarampo,B05.9
Rubéola,B06.0
Rubéola,B06.8
Rubéola,B06.9
Hepatite aguda B,B16.0
Hepatite aguda B,B16.1
Hepatite aguda B,B16.2
Hepatite aguda B,B16.9
Meningite por Haemophilus,G00.0
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.0
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.1
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.2
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.3
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.4
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.5
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.6
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.7
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.8
"Tuberculose respiratória, com confirmação bacteriológica e histológica",A15.9
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.0
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.1
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.2
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.3
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.4
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.5
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.7
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.8
"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",A16.9
Tuberculose de outros órgãos,A18.0
Tuberculose de outros órgãos,A18.1
Tuberculose de outros órgãos,A18.2
Tuberculose de outros órgãos,A18.3
Tuberculose de outros órgãos,A18.4
Tuberculose de outros órgãos,A18.5
Tuberculose de outros órgãos,A18.6
Tuberculose de outros órgãos,A18.7
Tuberculose de outros órgãos,A18.8
Sequelas de tuberculose,B90.0
Sequelas de tuberculose,B90.1
Sequelas de tuberculose,B90.2
Sequelas de tuberculose,B90.8
Sequelas de tuberculose,B90.9
Doenças infecciosas intestinais,A00.0
Doenças infecciosas intestinais,A00.1
Doenças infecciosas intestinais,A00.9
Doenças infecciosas intestinais,A01.0
Doenças infecciosas intestinais,A01.1
Doenças infecciosas intestinais,A01.2
Doenças infecciosas intestinais,A01.3
Doenças infecciosas intestinais,A01.4
Doenças infecciosas intestinais,A02.0
Doenças infecciosas intestinais,A02.1
Doenças infecciosas intestinais,A02.2
Doenças infecciosas intestinais,A02.8
Doenças infecciosas intestinais,A02.9
Doenças infecciosas intestinais,A03.0
Doenças infecciosas intestinais,A03.1
Doenças infecciosas intestinais,A03.2
Doenças infecciosas intestinais,A03.3
Doenças infecciosas intestinais,A03.8
Doenças infecciosas intestinais,A03.9
Doenças infecciosas intestinais,A04.0
Doenças infecciosas intestinais,A04.1
Doenças infecciosas intestinais,A04.2
Doenças infecciosas intestinais,A04.3
Doenças infecciosas intestinais,A04.4
Doenças infecciosas intestinais,A04.5
Doenças infecciosas intestinais,A04.6
Doenças infecciosas intestinais,A04.7
Doenças infecciosas intestinais,A04.8
Doenças infecciosas intestinais,A04.9
Doenças infecciosas intestinais,A05.0
Doenças infecciosas intestinais,A05.1
Doenças infecciosas intestinais,A05.2
Doenças infecciosas intestinais,A05.3
Doenças infecciosas intestinais,A05.4
Doenças infecciosas intestinais,A05.8
Doenças infecciosas intestinais,A05.9
Doenças infecciosas intestinais,A06.0
Doenças infecciosas intestinais,A06.1
Doenças infecciosas intestinais,A06.2
Doenças infecciosas intestinais,A06.3
Doenças infecciosas intestinais,A06.4
Doenças infecciosas intestinais,A06.5
Doenças infecciosas intestinais,A06.6
Doenças infecciosas intestinais,A06.7
Doenças infecciosas intestinais,A06.8
Doenças infecciosas intestinais,A06.9
Doenças infecciosas intestinais,A07.0
Doenças infecciosas intestinais,A07.1
Doenças infecciosas intestinais,A07.2
Doenças infecciosas intestinais,A07.3
Doenças infecciosas intestinais,A07.8
Doenças infecciosas intestinais,A07.9
Doenças infecciosas intestinais,A08.0
Doenças infecciosas intestinais,A08.1
Doenças infecciosas intestinais,A08.2
Doenças infecciosas intestinais,A08.3
Doenças infecciosas intestinais,A08.4
Doenças infecciosas intestinais,A08.5
Doenças infecciosas intestinais,A09
Doenças pelo vírus da imunodeficiência humana [HIV],B20.0
Doenças pelo vírus da imunodeficiência humana [HIV],B20.1
Doenças pelo vírus da imunodeficiência humana [HIV],B20.2
Doenças pelo vírus da imunodeficiência humana [HIV],B20.3
Doenças pelo vírus da imunodeficiência humana [HIV],B20.4
Doenças pelo vírus da imunodeficiência humana [HIV],B20.5
Doenças pelo vírus da imunodeficiência humana [HIV],B20.6
Doenças pelo vírus da imunodeficiência humana [HIV],B20.7
Doenças pelo vírus da imunodeficiência humana [HIV],B20.8
Doenças pelo vírus da imunodeficiência humana [HIV],B20.9
Doenças pelo vírus da imunodeficiência humana [HIV],B21.0
Doenças pelo vírus da imunodeficiência humana [HIV],B21.1
Doenças pelo vírus da imunodeficiência humana [HIV],B21.2
Doenças pelo vírus da imunodeficiência humana [HIV],B21.3
Doenças pelo vírus da imunodeficiência humana [HIV],B21.7
Doenças pelo vírus da imunodeficiência humana [HIV],B21.8
Doenças pelo vírus da imunodeficiência humana [HIV],B21.9
Doenças pelo vírus da imunodeficiência humana [HIV],B22.0
Doenças pelo vírus da imunodeficiência humana [HIV],B22.1
Doenças pelo vírus da imunodeficiência humana [HIV],B22.2
Doenças pelo vírus da imunodeficiência humana [HIV],B22.7
Doenças pelo vírus da imunodeficiência humana [HIV],B23.0
Doenças pelo vírus da imunodeficiência humana [HIV],B23.1
Doenças pelo vírus da imunodeficiência humana [HIV],B23.2
Doenças pelo vírus da imunodeficiência humana [HIV],B23.8
Doenças pelo vírus da imunodeficiência humana [HIV],B24
Hepatites virais (exceto Hepatite aguda B),B15.0
Hepatites virais (exceto Hepatite aguda B),B15.9
Hepatites virais (exceto Hepatite aguda B),B17.0
Hepatites virais (exceto Hepatite aguda B),B17.1
Hepatites virais (exceto Hepatite aguda B),B17.2
Hepatites virais (exceto Hepatite aguda B),B17.8
Hepatites virais (exceto Hepatite aguda B),B18.0
Hepatites virais (exceto Hepatite aguda B),B18.1
Hepatites virais (exceto Hepatite aguda B),B18.2
Hepatites virais (exceto Hepatite aguda B),B18.8
Hepatites virais (exceto Hepatite aguda B),B18.9
Hepatites virais (exceto Hepatite aguda B),B19.0
Hepatites virais (exceto Hepatite aguda B),B19.9
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.0
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.1
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.2
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.3
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.4
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.5
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.6
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.7
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A50.9
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A51.0
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A51.1
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A51.2
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A51.3
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A51.4
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A51.5
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A51.9
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A52.0
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A52.1
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A52.2
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A52.3
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A52.7
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A52.8
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A52.9
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A53.0
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A53.9
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.0
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.1
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.2
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.3
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.4
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.5
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.6
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.8
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A54.9
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A55
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A56.0
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A56.1
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A56.2
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A56.3
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A56.4
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A56.8
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A57
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A58
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A59.0
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A59.8
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A59.9
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A63.0
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A63.8
"Sífilis, gonorreias e outras doenças sexualmente transmissíveis",A64
Doenças inflamatórias dos órgãos pélvicos femininos,N70.0
Doenças inflamatórias dos órgãos pélvicos femininos,N70.1
Doenças inflamatórias dos órgãos pélvicos femininos,N70.9
Doenças inflamatórias dos órgãos pélvicos femininos,N71.0
Doenças inflamatórias dos órgãos pélvicos femininos,N71.1
Doenças inflamatórias dos órgãos pélvicos femininos,N71.9
Doenças inflamatórias dos órgãos pélvicos femininos,N72
Doenças inflamatórias dos órgãos pélvicos femininos,N73.0
Doenças inflamatórias dos órgãos pélvicos femininos,N73.1
Doenças inflamatórias dos órgãos pélvicos femininos,N73.2
Doenças inflamatórias dos órgãos pélvicos femininos,N73.3
Doenças inflamatórias dos órgãos pélvicos femininos,N73.4
Doenças inflamatórias dos órgãos pélvicos femininos,N73.5
Doenças inflamatórias dos órgãos pélvicos femininos,N73.6
Doenças inflamatórias dos órgãos pélvicos femininos,N73.8
Doenças inflamatórias dos órgãos pélvicos femininos,N73.9
Doenças inflamatórias dos órgãos pélvicos femininos,N74.0
Doenças inflamatórias dos órgãos pélvicos femininos,N74.1
Doenças inflamatórias dos órgãos pélvicos femininos,N74.2
Doenças inflamatórias dos órgãos pélvicos femininos,N74.3
Doenças inflamatórias dos órgãos pélvicos femininos,N74.4
Doenças inflamatórias dos órgãos pélvicos femininos,N74.8
Doenças inflamatórias dos órgãos pélvicos femininos,N75.0
Doenças inflamatórias dos órgãos pélvicos femininos,N75.1
Doenças inflamatórias dos órgãos pélvicos femininos,N75.8
Doenças inflamatórias dos órgãos pélvicos femininos,N75.9
Doenças inflamatórias dos órgãos pélvicos femininos,N76.0
Doenças inflamatórias dos órgãos pélvicos femininos,N76.1
Doenças inflamatórias dos órgãos pélvicos femininos,N76.2
Doenças inflamatórias dos órgãos pélvicos femininos,N76.3
Doenças inflamatórias dos órgãos pélvicos femininos,N76.4
Doenças inflamatórias dos órgãos pélvicos femininos,N76.5
Doenças inflamatórias dos órgãos pélvicos femininos,N76.6
Doenças inflamatórias dos órgãos pélvicos femininos,N76.8
Febre reumática aguda e doenças reumáticas crônicas do coração,I00
Febre reumática aguda e doenças reumáticas crônicas do coração,I01.0
Febre reumática aguda e doenças reumáticas crônicas do coração,I01.1
Febre reumática aguda e doenças reumáticas crônicas do coração,I01.2
Febre reumática aguda e doenças reumáticas crônicas do coração,I01.8
Febre reumática aguda e doenças reumáticas crônicas do coração,I01.9
Febre reumática aguda e doenças reumáticas crônicas do coração,I02.0
Febre reumática aguda e doenças reumáticas crônicas do coração,I02.9
Febre reumática aguda e doenças reumáticas crônicas do coração,I03
Febre reumática aguda e doenças reumáticas crônicas do coração,I04
Febre reumática aguda e doenças reumáticas crônicas do coração,I05.0
Febre reumática aguda e doenças reumáticas crônicas do coração,I05.1
Febre reumática aguda e doenças reumáticas crônicas do coração,I05.2
Febre reumática aguda e doenças reumáticas crônicas do coração,I05.8
Febre reumática aguda e doenças reumáticas crônicas do coração,I05.9
Febre reumática aguda e doenças reumáticas crônicas do coração,I06.0
Febre reumática aguda e doenças reumáticas crônicas do coração,I06.1
Febre reumática aguda e doenças reumáticas crônicas do coração,I06.2
Febre reumática aguda e doenças reumáticas crônicas do coração,I06.8
Febre reumática aguda e doenças reumáticas crônicas do coração,I06.9
Febre reumática aguda e doenças reumáticas crônicas do coração,I07.0
Febre reumática aguda e doenças reumáticas crônicas do coração,I07.1
Febre reumática aguda e doenças reumáticas crônicas do coração,I07.2
Febre reumática aguda e doenças reumáticas crônicas do coração,I07.8
Febre reumática aguda e doenças reumáticas crônicas do coração,I07.9
Febre reumática aguda e doenças reumáticas crônicas do coração,I08.0
Febre reumática aguda e doenças reumáticas crônicas do coração,I08.1
Febre reumática aguda e doenças reumáticas crônicas do coração,I08.2
Febre reumática aguda e doenças reumáticas crônicas do coração,I08.3
